Order,Action,Company,Website
1,Pass,Hulk Bio,https://www.hulk.bio/
2,Maybe,Rayforms,https://rayforma.com
3,Pass,Ricovr Healthcare Inc,https://www.ricovr.com
4,Pass,"MisTee Wants To Know, Inc.  ",https://misteepro.com
5,Pass,Latica Med Ltd.,https://latica-med.com/
6,Maybe,Diagnio,https://diagnio.com
7,Saved,BIONIRS,https://bionirs.com/
8,Saved,Rebundle,https://rebundle.co/
9,Pass,Embryoxite,https://embryoxite.life/
10,Pass,Calidar,https://www.calidarmedical.com/
11,Maybe,ReCharge ,https://wyss.harvard.edu/news/inodes-receives-arpa-h-award/
12,Pass,BioSens8,https://www.biosens8.com/
13,Saved,Chronius Health,https://www.chroniushealth.com/
14,Pass,Petal Pregnancy,https://www.petalpregnancy.com
,Pass,Aster,
15,Pass,Aster,https://www.astercare.com/
16,Pass,Elpida Research INC ,https://elpidaresearchincdoctordigitalplant.shop/home-2
17,Pass,Elpida Research INC ,https://elpidagreen.com
18,Pass,Mama Soul,https://mamasoul.com/
19,Pass,Hera Biotech,https://www.herabiotech.com/
20,Pass,Nabta Health,https://business.nabtahealth.com
21,Pass,Ark Surgical,https://ark-surgical.com/
22,Maybe,"Lilu, Inc",https://wearlilu.com
25,Maybe,Coologics,https://coologics.com
23,Pass,Dio Tree,https://www.dio-tree.com
24,Pass,FreezeNit,https://www.freezenit.com
26,Maybe,Hyivy Health,https://www.hyivy.com
27,Pass,ExactRx,https://www.exactrx.ai
28,Pass,Serac Healthcare Ltd,https://www.serachealthcare.com
29,Saved,Nived Narayanan,https://nirvahealth.com
30,Pass,Impli,https://www.impli.org
31,Pass,NOOD NEW YORK,https://www.lovenood.com
32,Pass,Intimo Medical,https://intimo-medical.com/
33,Pass,"identifyHer Ltd., trading as Peri",https://www.myperi.co/
34,Pass,My Normative,https://www.mynormative.ca
35,Pass,Libbie Health,https://www.tapwithlibbie.com
36,Pass,Flutter Care,https://www.fluttercare.com/
